name,slug,description,benefits,eligibility_criteria,application_process,documents_required,official_link,level,status,source,target_gender,min_age,max_age,target_social_category,target_income_max,is_disability,is_student,is_bpl,featured,benefit_type,helpline,launch_date,application_deadline
"Grishm Kaleen Dhan Ke Badle Dalhan, Tilhan, Makka Fasal ko Protsahan Yojana",gkdkbdtmfkpy,"The scheme was launched on April 30, 2014,  under the Agriculture Development and Farmer Welfare and Biotechnology Department, Chhattisgarh. The scheme aims to promote the cultivation of pulses, oilseeds, and maize as an alternative to summer rice, helping to conserve groundwater.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Group Accident Insurance Scheme under PMMSY: Accidental death or Permanent Total Disability Gujarat,gaisguj1,"The scheme aims to provide financial assistance to fishermen/fishermen's families in case of death or injury. Through this scheme, insurance coverage for death permanent partial disability is provided to eligible fishers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Group Accident Insurance Scheme under PMMSY: Medical Treatment - Gujarat,gaisguj3,"The scheme aims to provide financial assistance to fishermen/fishermen's families in case of death or injury. Through this scheme, insurance coverage for Medical Treatment is provided to eligible fishers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Group Accident Insurance Scheme under PMMSY: Permanent Partial Disability Gujarat,gaisguj2,"The scheme aims to provide financial assistance to fishermen/fishermen's families in case of death or injury. Through this scheme, insurance coverage for Permanent Partial Disability is provided to eligible fishers.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Guru Shishya Parampara,gsp,"A scheme called ""Guru Shishya Parampara Scheme"" to preserve and promote rare and vanishing art forms on Classical or Folk/Tribal so that the young talents be nurtured to acquire skills in their chosen field of art art under the able guidance of Gurus",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Hamara Ped Hamara Dhan,otows,"The scheme aims to encourage residents of Uttarakhand to plant and protect trees on their private land by providing financial incentives, thereby promoting environmental conservation, increasing green cover, and linking economic benefits with tree plantation.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Hamara School Hamara Vriksh,hshv,"The aim of the scheme is to encourage tree plantation and environmental awareness among students by providing free saplings to schools for planting within their premises. Under this scheme, free plants are provided for planting in all government and non-government schools.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Haritha Haram,haritha-haram,The objective of the Haritha Haram program is to increase the green cover of the state from the existing 24% to 33% by planting and nurturing millions of saplings every year. The program also aims to create awareness among the public about the importance of preserving and protecting the environment.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Harvesting Tools Assistance for General Category (HRT-2),htagchrt-2,"Under the scheme, financial assistance is provided to farmers belonging to the General Category as well as to FPOs (Farmers Producer Organizations), FPCs (Farmers Producer Companies), FIGs (Farmer Interest Groups), SHGs (Self-Help Groups), and Cooperative Societies for purchasing harvesting tools.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Harvesting Tools Assistance for Scheduled Castes (HRT-4),htaschrt4,"Under the scheme, financial assistance is provided to farmers belonging to the SC category as well as to FPOs (Farmers Producer Organizations), FPCs (Farmers Producer Companies), FIGs (Farmer Interest Groups), SHGs (Self-Help Groups), and Cooperative Societies for purchasing harvesting tools.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Harvesting Tools Assistance for Scheduled Tribes (HRT-3),htasthrt3,"Under the scheme, financial assistance is provided to farmers belonging to the ST category as well as to FPOs (Farmers Producer Organizations), FPCs (Farmers Producer Companies), FIGs (Farmer Interest Groups), SHGs (Self-Help Groups), and Cooperative Societies for purchasing harvesting tools.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Him Kukkut Palan Yojna,hkpy,"The scheme “Him Kukkut Palan Yojna” was launched by the Department of Animal Husbandry, Government of Himachal Pradesh to provide the subsidy to the entrepreneurs/farmers who are interested and engaged in poultry farming in the state.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Horticulture Mission for North Eastern Hill Scheme- Meghalaya,hmneh,"The objective of the scheme is to improve productivity, quality planting material, canopy management of fruit trees, support marginal and small farmers, upscaling protected cultivation, and drip irrigation.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Hybrid Chilli Production Program,hcpp,The scheme aims to provide self-employment opportunities and increase income for Scheduled Caste farmers living below the poverty line by promoting hybrid chilli cultivation.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
ICRO Amrit Internship Programme,icroaip,"The IPL Centre for Rural Outreach (ICRO) has launched ICRO Amrit Internship Programme focused on youth productivity for prosperity. The interns will be placed at the headquarters and Regional Offices of NPC/ IPL. The duration of the internship will be 3 months initially, renewable up to four times.",,,,,,central,active,myscheme,,,,,,,,,f,,,,
"""Immediate Death Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",wrflsncs-idra,"The scheme ""Immediate Death Relief Assistance"" is introduced with the objective of extending financial assistance to the fishermen's families to compensate for the loss due to the sudden demise of the breadwinner and to support them financially to run their family. ",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme""",ira-wrflsncs,"The scheme ""Immediate Relief Assistance"" under ""Welfare and Relief for Fishermen During Lean Seasons and Natural Calamities Scheme"" is introduced to extend financial assistance to the fishermen's families to compensate for the loss due to the missing breadwinner and to support them financially.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Incentive Assistance to Scheduled Caste Farmers to Increase the Area, Production and Productivity of Sugarcane Farming",iascasf,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to SC farmers to increase sugarcane production and productivity through quality seeds, modern farming practices, and agricultural mechanization.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"Incentive Assistance to Scheduled Tribe Farmers to Increase the Area, Production and Productivity of Sugarcane Farming",iastasf,"This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to ST farmers to increase sugarcane production and productivity through quality seeds, modern farming practices, and agricultural mechanization.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Incentive To Girls,itg,"Rajasthan State started a scheme ""Incentive for Girls"" for state students.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Incentive to Owners of A.I. Born Female Calf through Pure Breeding in Indigenous Cow Across the State,iaifcpb,The scheme aims to support livestock owners in maintaining and increasing the population of indigenous cattle breeds like Gir and Kankrej.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Incentive To Owners Of Artificial Insemination Born Female Calf Through Pure Breeding In Indigenous Cow,ioaibfcpbic,"The scheme “Incentive to Owners of Artificial Insemination Born Female Calf through Pure Breeding in Indigenous Cow” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Indian Agricultural Research Institute - Scholarship,iaris,The Indian Agricultural Research Institute (IARI) Junior and Senior Scholarship shall be awarded to M.Sc. and Ph.D. students admitted under General Open Competition Scheme.,,,,,,central,active,myscheme,,,,,,,,,f,,,,
Infrastructure Development Scheme for Dairy Co-operatives,idsdco,"The scheme aims to provide financial assistance to Dairy Co-operative Societies for their development, smooth functioning of business, and other allied activities, enabling them to become stable and create better infrastructure. The scheme provides financial support in the form of grant or subsidy.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
"""Input Assistance to Farmers for Taking up Fish Farming in Farm Ponds"" Component of the ""Mukhyamantri Maschyajibi Kalyan Yojana"" Scheme",mmky-iaftufffp,"The objective of this scheme is to increase the inland fish production, and to enhance the income of farmers in the State though aquaculture. Input assistance is provided to the farmers who have excavated farm ponds under MGNREGA for facilitating the production of fingerling and fish.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Integrated Agriculture Training Centre Scheme,iatc,The objective of the scheme is to provide training for enhancing the skills of farmers besides imparting updated agricultural technologies to departmental functionaries. ,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Integrated Dairy Development Scheme Gujarat,iddsg,"Under this scheme, tribal women beneficiaries are provided with milch cattle, dairy equipment, and financial assistance of up to ₹90,000 per unit.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Integrated Farming in Micro Watershed Scheme,ifmws,The objective of the scheme is to promote integrated farming activities for improved livelihood in a complementary manner.,,,,,,state,active,myscheme,,,,,,,,,f,,,,
Integrated Fisheries Scheme,ifs,"The ""Integrated Fisheries Scheme"" by the Fisheries Division, Government of Jharkhand, aims to promote fish-duck farming and increase fish farmers' income. The scheme provides financial assistance of up to 80% for eligible SC/ST/women beneficiaries and 70% for others.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Integrated Horticultural Development Program Through Diversification of Agriculture,ihdpda,"Through this scheme, the farmers are provided subsidies through DBT mode for Organic Manures for Coconut Palms, Tools and Implements for Agricultural Purposes, Mud Pots or Cement Pots, Plant Protection Chemicals, Motor Pumpset for Irrigation Purposes, Biogas Unit, Planting Materials, etc.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Integrated Horticulture Development Plan Scheme for Scheduled Caste Families,ihdpsscf,"Under this scheme, Scheduled Caste farmers will be provided with quality planting material and other inputs for mushroom cultivation, bamboo stacking in vegetables, and protected cultivation with a subsidy of up to 90%. Additionally, training will be offered on various aspects of these practices.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
Integrated Horticulture Development Program for Tribal Area Farmers (TASP) HRT-3,ihdptaf,"The scheme ""Integrated Horticulture Development Program for Tribal Area Farmers (TASP) HRT-3"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to enhance the horticulture sector through financial assistance and subsidies to tribal area farmers across the state.",,,,,,state,active,myscheme,,,,,,,,,f,,,,
